Task ID,Cost
2019-05-30,0.478218801
2019-05-30,0.521678711
2019-05-30,0.332975212
2019-05-30,0.328236005
2019-05-30,0.357689236
2019-05-30,0.359031181
2019-05-30,0.359024189
2019-05-30,0.313509448
2019-05-30,0.399889412
2019-05-30,0.320763314
2019-05-30,0.421987773
2019-05-30,0.317432209
2019-05-30,0.293925416
2019-05-30,0.33100742
2019-05-30,0.30239373
2019-05-30,0.344689021
2019-05-30,0.307691824
2019-05-30,0.343709742
2019-05-30,0.355049042
2019-05-30,0.325427028
2019-05-30,0.329672552
2019-05-30,0.371470401
2019-05-30,0.362540361
2019-05-30,0.309031462
2019-05-30,0.345105076
2019-05-30,0.352640297
2019-05-30,0.349514163
2019-05-30,0.341303673
2019-05-30,0.334363115
2019-05-30,0.326296037
2019-05-30,0.307330783
2019-05-30,0.323564526
2019-05-30,0.326204875
2019-05-30,0.48395599
2019-05-30,0.343389844
2019-05-30,0.331953294
2019-05-30,0.355286043
2019-05-30,0.290967292
2019-05-30,0.313858096
2019-05-30,0.365424411
2019-05-30,0.426332415
2019-05-30,0.324112936
2019-05-30,0.316254226
2019-05-30,0.431282745
2019-05-30,0.334243068
2019-05-30,0.302213243
2019-05-30,0.372792553
2019-05-30,0.343541015
2019-05-30,0.419728601
2019-05-30,0.313587125
2019-05-30,0.326505659
2019-05-30,0.303812759
2019-05-30,0.320663187
2019-05-30,0.348886636
2019-05-30,0.460988074
2019-05-30,0.400219975
2019-05-30,0.327083634
2019-05-30,0.2963877
2019-05-30,0.351981627
2019-05-30,0.309402542
2019-05-30,0.314410173
2019-05-30,0.33903925
2019-05-30,0.315261793
2019-11-29,0.375639919
2019-11-29,0.433162798
2019-11-29,0.354567587
2019-11-29,0.379627054
2019-11-29,0.368265366
2019-11-29,0.341333161
2019-11-29,0.376901808
2019-11-29,0.301013685
2019-11-29,0.421396759
2019-11-29,0.365532727
2019-11-29,0.36814039
2019-11-29,0.354226427
2019-11-29,0.32656836
2019-11-29,0.339927828
2019-11-29,0.359490288
2019-11-29,0.422762288
2019-11-29,0.305388131
2019-11-29,0.333444468
2019-11-29,0.359519899
2019-11-29,0.304856613
2019-11-29,0.422044394
2019-11-29,0.328469467
2019-11-29,0.301494177
2019-11-29,0.370860583
2019-11-29,0.36741254
2019-11-29,0.314701058
2019-11-29,0.323826983
2019-11-29,0.314623731
2019-11-29,0.347752388
2019-11-29,0.367878998
2019-11-29,0.4297257
2019-11-29,0.305571215
2019-11-29,0.371961663
2019-11-29,0.302832256
2019-11-29,0.390045396
2019-11-29,0.339052215
2019-11-29,0.309193588
2019-11-29,0.298487824
2019-11-29,0.338964501
2019-11-29,0.3389294
2019-11-29,0.441989264
2019-11-29,0.344635371
2019-11-29,0.340196794
2019-11-29,0.340901554
2019-11-29,0.312683605
2019-11-29,0.326542586
2019-11-29,0.315717063
2019-11-29,0.411151429
2019-11-29,0.369166319
2019-11-29,0.28457495
2019-11-29,0.308773637
2019-11-29,0.437883961
2019-11-29,0.326435011
2019-11-29,0.433665566
2019-11-29,0.431825993
2019-11-29,0.407956039
2019-11-29,0.302904668
2019-11-29,0.358023867
2019-11-29,0.342585724
2019-11-29,0.409898902
2019-11-29,0.379463361
2019-11-29,0.313399313
2019-11-29,0.358640168
2020-01-03,0.404345342
2020-01-03,0.373415391
2020-01-03,0.352311636
2020-01-03,0.342381659
2020-01-03,0.310394598
2020-01-03,0.372456527
2020-01-03,0.335122338
2020-01-03,0.333921204
2020-01-03,0.377547798
2020-01-03,0.376677416
2020-01-03,0.422937481
2020-01-03,0.453957896
