,Task ID,Cost
0,2019-05-30,0.478218801
1,2019-09-26,0.407784155
2,2019-11-29,0.437883961
3,2020-01-03,0.473478804
4,2020-01-07,0.46602784
5,2020-01-08,0.447846563
6,2020-01-09,0.457005138
7,2020-01-10,0.467536428
8,2020-01-14,0.43250958
9,2020-01-15,0.476489984
10,2020-01-16,0.411120029
11,2020-01-17,0.457147259
12,2020-01-22,0.430750448
13,2020-01-24,0.45173095
14,2020-02-10,0.425333741
15,2020-02-18,0.416159273
16,2020-02-20,0.379800278
17,2020-02-27,0.411393884
18,2020-03-01,0.496239244
19,2020-03-03,0.521355536
20,2020-03-28,0.576585325
21,2020-05-06,0.564081211
22,2020-06-09,0.54828659
23,2020-07-22,0.507385523
24,2020-08-04,0.528294705
25,2020-09-01,0.492337899
26,2020-10-23,0.495578844
27,2020-10-28,0.50237185
28,2020-10-30,0.465077007
29,2021-03-15,0.354490981
30,2021-03-18,0.396937784
31,2021-03-22,0.376292186
32,2021-03-23,0.367241465
33,2021-03-25,0.361484727
34,2021-03-29,0.366336161
35,2021-04-06,0.325279383
36,2021-04-08,0.333627661
37,2021-04-12,0.376671403
38,2021-04-20,0.360591816
39,2021-04-22,0.331261654
40,2021-04-28,0.335750991
41,2021-05-05,0.335156514
42,2021-05-06,0.341037266
43,2021-05-13,0.322823964
44,2021-05-20,0.385729216
45,2021-05-24,0.423810453
46,2021-05-31,0.421254456
47,2021-06-01,0.431939503
48,2021-06-08,0.42366004
49,2021-06-14,0.393517066
50,2021-06-17,0.409714228
51,2021-06-21,0.4265701
52,2021-06-24,0.403832552
53,2021-06-30,0.432646074
54,2021-07-08,0.365265399
55,2021-07-15,0.377972401
56,2021-07-19,0.382292945
57,2021-07-22,0.389422678
58,2021-08-30,0.403974502
59,2021-09-09,0.422942078
60,2021-09-14,0.453203477
61,2021-09-17,0.440256211
62,2021-09-20,0.472484602
63,2021-09-21,0.454034122
64,2021-09-22,0.426546539
65,2021-09-23,0.407495604
66,2021-09-24,0.411798881
67,2021-09-27,0.45633916
68,2021-09-28,0.44301993
69,2021-09-29,0.473058158
70,2021-09-30,0.399788002
71,2021-10-01,0.455902654
72,2021-10-02,0.414909445
73,2021-10-04,0.480913095
74,2021-10-05,0.458122726
75,2021-10-06,0.45795479
76,2021-10-07,0.470279165
77,2021-10-08,0.481789468
78,2021-10-11,0.516305758
79,2021-10-13,0.539051615
80,2021-10-14,0.498795251
81,2021-10-15,0.499591671
82,2021-10-18,0.553933379
83,2021-10-19,0.490817592
84,2021-10-20,0.460941404
85,2021-10-21,0.518191973
86,2021-10-22,0.497490717
87,2021-10-26,0.479843118
